,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
3506,Spring 2022,COSC,1437,5,18713,Introduction to Programming,Biediger,Daniel Edward,74,20,13,5,8,0,0,0,23,3.2
3517,Spring 2022,MATH,1100,2,25099,Developmental Math,Chang,James A,0,0,0,0,0,16,9,0,5,0.0
3524,Spring 2022,MATH,6373,1,19698,Deep Learning and Neural Nets,Azencott,Robert Guy,22,14,1,0,2,0,0,0,2,3.308
3545,Spring 2022,COSC,8399,124,20275,Doctoral Dissertation,Shah,Shishir,0,0,0,0,0,2,0,0,0,0.0
3553,Spring 2022,MATH,1342,2,20974,Elementary Statistical Methods,Weber,Thomas Christian,51,63,65,21,32,0,0,0,33,2.301
3564,Spring 2022,MATH,3333,1,19682,Intermediate Analysis,Winkle,James J,9,12,10,8,2,0,0,0,1,2.391
3567,Spring 2022,COSC,4397,1,25881,Sel Top-Computer Science,Rizk,Nouhad J,4,5,7,2,0,0,0,0,0,2.483
3582,Spring 2022,MATH,1332,5,18867,Elem Mathematical Modeling,Hafeez,Shahinda,22,22,36,13,27,0,0,0,22,1.942
3592,Spring 2022,MATH,6371,1,14880,Numerical Analysis,Kuznetsov,Yuri Alexeevich,8,4,0,0,0,0,0,0,0,3.529
3615,Spring 2022,COSC,8298,101,27935,Doctoral Research,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
3626,Spring 2022,COSC,8398,114,20172,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,1,0,0,0,0.0
3643,Spring 2022,MATH,2318,5,24454,Linear Algebra,Perepelitsa,Mikhail Antolyevic,8,19,19,20,17,0,0,0,15,1.715
3648,Spring 2022,MATH,2312,4,14849,Precalculus,Perepelitsa,Irina,21,14,13,6,10,0,0,0,15,2.386
3695,Spring 2022,COSC,8398,127,20185,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,2,0,0,0,0.0
3783,Spring 2022,MATH,4378,1,14863,Advanced Linear Algebra II,Mamonov,Alexander V,1,2,4,1,3,0,0,0,1,1.727
3790,Spring 2022,COSC,1336,2,17787,Computer Science & Program,Hilford,Victoria,24,29,17,2,7,0,0,0,20,2.73
3813,Spring 2022,COSC,6323,1,17804,Statistical Method in Research,Pavlidis,Ioannis T,28,19,0,0,0,0,0,0,0,3.596
3897,Spring 2022,MATH,2131,1,17713,Linear Alg Labs w/MATLAB,Vu,An Thuy,12,4,5,1,2,0,0,0,4,2.986
3939,Spring 2022,COSC,4331,1,20529,Real-Time Syst & Embedded Prog,Cheng,Albert M K,5,10,9,3,1,0,0,0,9,2.524
3943,Spring 2022,MATH,1100,1,20820,Developmental Math,Caputo,Matthew G,0,0,0,0,0,25,18,0,8,0.0
3973,Spring 2022,MATH,2318,4,24451,Linear Algebra,Jaramillo,Gabriela T,2,4,5,4,4,0,0,0,6,1.789
3992,Spring 2022,MATH,6315,5,26807,Masters Tutorial,Mang,Andreas,0,0,0,0,0,0,0,0,1,0.0
4000,Spring 2022,MATH,2414,11,18582,Calculus II,Xhabli,Blerina,80,49,36,22,52,0,0,0,53,2.3
4014,Spring 2022,COSC,6339,1,25883,Big Data Analytics,Ordonez,Carlos,22,44,4,0,0,0,0,0,1,3.219
4023,Spring 2022,COSC,6380,1,19265,Digital Image Processing,Mantini,Pranav,51,12,1,0,1,0,0,0,0,3.672
4061,Spring 2022,COSC,8998,122,20242,Doctoral Research,Pavlidis,Ioannis T,0,0,0,0,0,6,0,0,0,0.0
4087,Spring 2022,COSC,4298,2,27822,Independent Study,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
4096,Spring 2022,MATH,1314,3,17365,College Algebra,Caputo,Matthew G,12,15,26,11,24,0,0,0,23,1.675
4159,Spring 2022,MATH,2413,70,27370,Calculus I,Morgan,Jeffrey,0,0,0,0,0,0,0,0,0,0.0
4175,Spring 2022,COSC,3380,1,16757,Database Systems,Ramamurthy,Uma,22,44,11,0,0,0,0,0,12,2.993
4194,Spring 2022,MATH,1451,7,19103,Accelerated Calculus,Ott,William R,13,4,1,1,0,0,0,0,1,3.544
4197,Spring 2022,MATH,6374,1,24536,Num Part Diff Equations,Olshanskiy,Maxim Alexandrovich,6,11,2,0,0,0,0,0,0,3.245
4235,Spring 2022,COSC,8399,103,20254,Doctoral Dissertation,Cheng,Albert M K,1,0,0,0,0,0,0,0,0,4.0
4237,Spring 2022,COSC,8698,130,20219,Doctoral Research,Vilalta,Ricardo,0,0,0,0,0,1,0,0,0,0.0
4244,Spring 2022,MATH,2312,6,14850,Precalculus,Constante,Beatrice,55,40,28,12,21,0,0,0,39,2.603
4255,Spring 2022,MATH,2312,3,14848,Precalculus,Chang,James A,70,31,32,6,14,0,0,0,44,2.88
4269,Spring 2022,MATH,1314,8,14841,College Algebra,Hafeez,Shahinda,15,17,39,20,47,0,0,0,40,1.459
4349,Spring 2022,COSC,8698,131,20220,Doctoral Research,Wu,Panruo,0,0,0,0,0,1,0,0,0,0.0
4361,Spring 2022,MATH,8399,9,14921,Doctoral Dissertation,Josic,Kresimir,2,0,0,0,0,0,0,0,0,4.0
4386,Spring 2022,MATH,6313,1,15499,Introduction to Real Analysis,Vershynina,Anna,5,0,0,0,0,0,0,0,0,3.802
4387,Spring 2022,COSC,8998,106,20226,Doctoral Research,Deng,Zhigang,0,0,0,0,0,1,0,0,0,0.0
4417,Spring 2022,MATH,6397,1,24420,Selected Topics in Math,Arregoces,Luis A,22,0,0,0,0,0,0,0,0,4.0
4427,Spring 2022,MATH,6381,1,20129,Information Visualization,Shastri,Dvijesh J,14,15,3,1,1,0,0,0,0,3.07
4495,Spring 2022,COSC,2425,5,26424,Computer Org & Architecture,Long,Kevin B,33,10,2,0,1,0,0,0,5,3.609
4510,Spring 2022,COSC,4351,1,14371,Fundamentals of Software Engr,Hilford,Victoria,59,27,5,0,0,0,0,0,1,3.586
